2025-05-06 16:06:41.406 | RK:  | [BEETHOVEN] 2025-05-06 15:56:30 INFO  Completed gRPC server shutdown

2025-05-06 16:06:41.406 | RK:  | [BEETHOVEN] 2025-05-06 15:56:30 INFO  Commencing graceful shutdown. Waiting for active requests to complete

2025-05-06 16:06:41.407 | RK:  | [BEETHOVEN] 2025-05-06 15:56:31 INFO  Graceful shutdown complete

2025-05-06 16:06:41.407 | RK:  | [MOZART] 2025-05-06 15:56:32 INFO  Waiting for workers to finish.

2025-05-06 16:06:41.407 | RK:  | [MOZART] 2025-05-06 15:56:32 INFO  Successfully waited for workers to finish.

2025-05-06 16:06:41.407 | RK:  | [MOZART] 2025-05-06 15:57:40 INFO  HV000001: Hibernate Validator 8.0.1.Final

2025-05-06 16:06:41.407 | RK:  | [MOZART] 2025-05-06 15:57:40 INFO  Starting MozartApplication using Java 24.0.1 with PID 19956 (C:\Users\jonas\sprint_2\mozart\target\classes started by jonas in C:\Users\jonas\sprint_2\mozart)

2025-05-06 16:06:41.408 | RK:  | [MOZART] 2025-05-06 15:57:40 INFO  No active profile set, falling back to 1 default profile: "default"

2025-05-06 16:06:41.408 | RK:  | [MOZART] 2025-05-06 15:57:42 INFO  Tomcat initialized with port 8089 (http)

2025-05-06 16:06:41.408 | RK:  | [MOZART] 2025-05-06 15:57:42 INFO  Initializing ProtocolHandler ["http-nio-8089"]

2025-05-06 16:06:41.408 | RK:  | [MOZART] 2025-05-06 15:57:42 INFO  Starting service [Tomcat]

2025-05-06 16:06:41.408 | RK:  | [MOZART] 2025-05-06 15:57:42 INFO  Starting Servlet engine: [Apache Tomcat/10.1.20]

2025-05-06 16:06:41.408 | RK:  | [MOZART] 2025-05-06 15:57:42 INFO  Initializing Spring embedded WebApplicationContext

2025-05-06 16:06:41.409 | RK:  | [MOZART] 2025-05-06 15:57:42 INFO  Root WebApplicationContext: initialization completed in 2010 ms

